28000, -0.451, 0.199, 19.872, -2.021, -1.782, 25.621, 0.795, 0.306, 23.897, -1.827, -0.945, 28.465, -1.146, -1.553, 25.661, -2.332, -1.726, 20.447, 1.913, -3.01, 21.341, -2.362, 0.262, 24.632, 0.636, -1.02, -0.695, -0.318, 0.374, -0.65, 0.592, 0.547
28500, 0.266, 0.264, 20.035, -1.485, -2.318, 26.398, 0.19, -0.332, 25.037, -1.173, -1.383, 28.283, -1.168, -1.358, 25.374, -1.726, -2.767, 22.741, 0.365, -3.071, 21.705, -2.318, 0.545, 29.195, -0.319, -1.295, -0.821, -1.49, -1.079, 0.281, -0.902, 0.324
29000, 0.353, -0.454, 18.433, -2.91, -2.063, 21.205, -0.285, -0.449, 22.18, -0.685, -1.562, 29.84, -1.116, -1.768, 25.127, -3.146, -2.931, 16.766, -0.133, -2.283, 20.244, -3.436, -0.54, 24.292, 0.065, -1.088, -0.274, -0.451, -0.288, -0.363, -0.491, -0.8
29500, -0.431, 0.53, 11.641, -0.671, -0.677, 15.657, -0.188, 0.177, 16.891, 0.35, -1.429, 33.774, -1.662, -1.647, 16.82, -0.981, -2.296, 6.208, 1.358, -1.819, 14.529, -2.8, 0.236, 16.916, 0.177, -1.594, -1.171, -0.165, -1.247, -0.641, 0.641, 0.106
30000, 0.402, 0.009, 8.717, 1.796, -0.353, 8.799, -0.222, 0.295, 14.623, 0.657, -1.02, 33.625, -1.064, -1.088, 11.959, 1.492, -1.336, 1.296, 4.769, -2.839, 10.158, -1.829, 3.478, 11.994, 1.043, -0.903, -0.936, -0.332, 0.145, -0.096, 0.206, 0.234
30500, 0.008, -0.489, 5.861, 10.27, -2.387, 3.786, -1.391, 4.465, 10.333, -1.946, -1.52, 31.962, -2.111, -1.976, 7.346, 5.856, -1.809, -1.601, 8.055, -4.014, 5.942, -3.101, 9.948, 7.257, -0.601, -1.933, -2.045, -0.697, -0.894, -1.503, -0.758, -0.111
31000, 0.218, 0.009, 2.837, 19.1, -2.54, 3.485, -0.068, 13.587, 6.769, -0.325, -1.93, 35.314, -2.856, -2.054, 6.729, 15.823, -2.103, -3.225, 18.581, -4.327, 4.051, -4.687, 21.158, 5.125, -0.945, -1.35, -1.326, -0.716, -1.134, -0.58, -0.288, -0.281
31500, -0.073, -0.522, 0.58, 31.643, -2.225, 2.734, 0.461, 19.686, 1.226, 0.051, -2.045, 34.737, -2.506, -1.835, 4.107, 27.216, -2.478, -3.383, 27.487, -3.768, 2.853, -3.297, 29.59, 4.216, 0.59, -0.818, -0.682, 0.317, 0.068, -0.279, -0.081, -0.058
32000, -0.723, -0.517, -1.305, 34.829, -0.414, 1.38, -0.842, 25.946, -1.144, -1.123, -1.569, 35.987, -3.377, -1.046, 2.76, 31.298, -2.325, -2.933, 30.126, -4.315, 1.6, -3.001, 34.956, 0.594, 0.143, -1.291, -0.898, -0.391, 0.108, -0.421, -0.938, 0.367
32500, -1.244, -1.148, -2.726, 34.268, -1.356, -0.563, -2.027, 27.267, -2.359, -0.996, -2.164, 34.863, -3.664, -3.215, 0.395, 34.407, -4.087, -3.132, 30.406, -5.402, 1.51, -3.641, 31.212, 0.198, -0.747, -1.928, -1.743, -1.551, -1.46, -1.53, -0.677, -1.1
33000, 0.236, -0.36, -2.058, 36.539, -0.891, -0.573, -0.966, 31.057, -2.673, -0.587, -0.877, 33.791, -1.796, -2.325, 0.706, 34.481, -2.383, -2.912, 30.215, -4.605, 1.043, -2.76, 39.311, 0.255, 0.18, -1.289, -0.201, -0.356, 0.234, -0.084, 0.089, 0.187
33500, -0.228, -0.304, -1.404, 35.34, -2.019, -0.532, -1.855, 29.71, -4.019, -1.386, -1.741, 34.25, -2.547, -1.624, -0.048, 34.983, -2.329, -3.19, 31.108, -2.666, -0.788, -2.362, 37.965, -0.687, 0.694, -0.649, -0.768, -0.347, 0.362, -0.694, -0.816, -0.636
34000, -0.793, -1.303, -1.502, 28.947, -1.134, -0.727, -1.504, 24.108, -2.811, -1.118, -0.571, 27.141, -2.461, -1.588, -0.442, 27.361, -2.411, -2.793, 24.175, -2.781, -0.349, -3.16, 29.852, -0.203, -0.847, -0.447, -0.068, -0.246, 0.47, 0.545, -0.332, -0.028
34500, -0.243, -0.872, -1.964, 19.422, -1.383, -2.149, -0.73, 17.942, -2.977, -0.448, -1.642, 17.773, -2.663, -2.151, -1.581, 17.144, -1.652, -2.896, 16.156, -2.805, -1.956, -2.744, 20.775, -0.788, -0.243, -2.085, -1.216, -0.811, -1.275, -0.57, 0.2, -0.003
35000, -0.248, -0.318, -1.635, 13.72, -1.633, -1.759, -0.847, 13.793, -3.153, -0.073, -1.214, 12.871, -1.537, -0.912, -0.094, 12.134, -2.016, -2.044, 12.343, -1.972, -1.111, -2.065, 15.858, -0.557, 0.351, -1.137, -0.798, -0.323, -0.225, -0.225, -0.026, -0.166
35500, -1.315, -1.472, -2.313, 9.297, -1.71, -1.495, -1.13, 8.934, -3.172, -1.414, -1.541, 9.028, -2.106, -1.097, -0.991, 7.858, -2.126, -1.812, 7.693, -2.367, -1.117, -1.528, 10.554, -0.93, -0.068, -1.731, -1.259, -0.588, -0.089, -0.327, -0.266, 0.623
36000, -0.454, -1.233, -1.56, 7.298, -0.926, -1.513, -1.254, 5.295, -3.307, -1.927, -1.511, 5.487, -2.089, -1.024, -1.116, 6.355, -1.874, -1.927, 6.608, -2.418, -1.82, -1.939, 8.133, -0.091, -0.08, -2.397, -0.606, -0.779, -1.3, -0.886, -0.456, -0.55
36500, -0.555, -0.428, -1.353, 5.131, -1.548, -1.751, -1.262, 5.23, -2.939, -0.494, -1.855, 4.989, -1.51, -1.13, -0.654, 4.523, -1.024, -1.84, 4.3, -2.204, -2.03, -1.867, 5.998, -1.437, -0.537, -1.3, -0.271, -0.337, -0.897, -0.243, -0.568, -0.459
37000, -0.016, 0.009, -0.94, 4.8, -0.543, -1.794, 0.105, 4.056, -2.145, -0.94, -0.494, 3.639, -1.824, -1.102, 0.026, 3.511, -0.725, -1.693, 3.894, -1.137, -1.125, -0.777, 4.467, -0.482, 0.164, -1.038, -0.25, 0.395, -0.03, -0.391, 0.996, -0.211
37500, 0.249, -1.271, -2.299, 4.348, -0.079, -2.025, -0.693, 2.785, -1.867, -0.681, -1.83, 2.159, -1.855, -1.399, -0.158, 3.284, -2.25, -2.317, 3.138, -0.943, -0.742, -1.946, 3.892, -1.332, -0.055, -0.383, -1.186, -0.578, -1.861, 0.006, -1.064, 0.097
